hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-63356.98, -62954.18, -61887.867, -62198.78, -63204.88, -63042.535, -61945.51, -61980.65, -63043.52, -63169.27]","[-64096.465, -63670.17, -63376.293, -63815.883, -64112.203, -63767.426, -63377.188, -63726.633, -64126.215, -63870.38]","[-85958.17, -86103.68, -86174.6, -86038.64, -85961.836, -86080.91, -86178.24, -86075.41, -85963.695, -86053.52]","[-82109.85, -82100.59, -82150.57, -82179.3, -82137.38, -82115.8, -82150.234, -82196.1, -82158.53, -82117.05]","[-85266.79, -85425.125, -85497.86, -85351.945, -85277.78, -85410.93, -85511.9, -85397.14, -85281.16, -85382.37]","[-90048.945, -90173.22, -90243.805, -90133.9, -90067.49, -90168.73, -90256.27, -90176.37, -90077.51, -90146.87]","[-69068.32, -68596.19, -68324.12, -68805.62, -69086.78, -68693.52, -68322.016, -68716.35, -69110.68, -68805.87]","[-85295.6, -85284.336, -85335.74, -85361.555, -85312.97, -85291.75, -85333.4, -85379.91, -85340.21, -85299.15]"
Left,2025-10-28 18:44:25,"[-62083.625, -61824.746, -62858.805, -63234.918, -62250.457, -61718.418, -62646.152, -63266.703, -62412.418, -61625.86]","[-63397.684, -63622.387, -64089.516, -63940.875, -63443.953, -63544.086, -64055.875, -64031.715, -63529.67, -63483.625]","[-86175.56, -86096.39, -85955.734, -86019.91, -86165.305, -86132.67, -85977.26, -86005.65, -86171.72, -86162.98]","[-82138.28, -82181.195, -82145.945, -82098.78, -82116.82, -82180.57, -82163.805, -82117.805, -82139.24, -82193.29]","[-85508.9, -85416.32, -85267.01, -85339.3, -85490.93, -85449.22, -85283.7, -85320.164, -85497.59, -85482.95]","[-90251.336, -90187.14, -90060.97, -90108.04, -90234.93, -90220.58, -90086.38, -90104.17, -90251.13, -90253.69]","[-68338.65, -68613.98, -69081.914, -68880.19, -68371.86, -68520.59, -69052.3, -68985.8, -68457.67, -68453.445]","[-85327.29, -85370.61, -85331.16, -85284.78, -85310.375, -85372.22, -85353.4, -85303.13, -85321.82, -85374.45]"
Left,2025-10-28 18:44:25,"[-62383.047, -63189.79, -62562.31, -61625.234, -62203.496, -63149.47, -62773.242, -61728.97, -62030.137, -63064.555]","[-64002.23, -64091.145, -63616.15, -63438.363, -63932.113, -64132.652, -63714.25, -63412.145, -63840.582, -64151.562]","[-86006.14, -85994.625, -86150.17, -86189.16, -86041.695, -85996.98, -86133.945, -86204.58, -86075.2, -85998.85]","[-82191.48, -82139.13, -82139.94, -82196.62, -82209.05, -82159.36, -82145.25, -82190.805, -82218.32, -82177.125]","[-85315.58, -85311.36, -85481.99, -85518.0, -85357.71, -85315.625, -85464.17, -85534.07, -85391.35, -85314.305]","[-90121.45, -90100.016, -90231.375, -90271.25, -90146.42, -90101.625, -90217.32, -90284.62, -90179.61, -90110.48]","[-68999.14, -69060.34, -68553.31, -68410.95, -68945.03, -69120.31, -68659.1, -68384.49, -68854.88, -69152.27]","[-85366.14, -85310.77, -85312.74, -85372.805, -85385.63, -85332.055, -85315.47, -85363.73, -85391.98, -85350.05]"
Left,2025-10-28 18:44:25,"[-62931.895, -61805.277, -61811.312, -62868.55, -63004.562, -61918.4, -61627.85, -62637.95, -63016.14, -62015.004]","[-63815.906, -63416.684, -63756.652, -64152.457, -63906.027, -63437.918, -63654.727, -64119.2, -63982.18, -63479.223]","[-86124.53, -86229.3, -86117.625, -86000.15, -86089.195, -86217.09, -86140.56, -86005.6, -86065.03, -86206.45]","[-82159.47, -82198.516, -82233.61, -82189.555, -82150.71, -82178.555, -82227.375, -82196.28, -82153.91, -82171.02]","[-85450.516, -85558.56, -85433.17, -85311.516, -85412.74, -85547.97, -85460.98, -85319.72, -85389.48, -85541.4]","[-90216.2, -90314.836, -90224.78, -90116.06, -90184.17, -90299.73, -90240.27, -90119.555, -90164.3, -90291.03]","[-68764.16, -68374.68, -68761.164, -69150.58, -68856.16, -68392.2, -68654.5, -69127.33, -68944.94, -68427.32]","[-85332.39, -85375.15, -85414.71, -85370.23, -85331.49, -85364.51, -85412.34, -85378.75, -85333.04, -85352.91]"
Left,2025-10-28 18:44:25,"[-61449.996, -62367.895, -62988.47, -62160.492, -61365.664, -62098.176, -62913.03, -62309.11, -61337.164, -61862.61]","[-63561.277, -64076.504, -64061.305, -63561.68, -63503.027, -64018.1, -64118.57, -63651.44, -63463.242, -63954.734]","[-86163.23, -86012.89, -86038.7, -86195.77, -86199.55, -86053.59, -86035.8, -86187.97, -86236.31, -86088.305]","[-82222.164, -82212.04, -82168.92, -82176.34, -82233.37, -82239.98, -82184.62, -82177.77, -82236.02, -82249.81]","[-85491.31, -85332.234, -85364.44, -85531.56, -85527.74, -85368.64, -85354.14, -85517.39, -85563.39, -85401.97]","[-90263.875, -90136.18, -90151.89, -90285.05, -90295.7, -90169.195, -90144.85, -90273.375, -90321.52, -90194.3]","[-68558.37, -69093.13, -69032.78, -68505.39, -68497.99, -69049.73, -69118.73, -68608.945, -68449.22, -68974.375]","[-85404.766, -85386.32, -85337.22, -85349.78, -85409.75, -85412.54, -85356.375, -85352.484, -85416.23, -85429.71]"
Left,2025-10-28 18:44:25,"[-62804.535, -62438.727, -61371.34, -61643.586, -62684.35, -62571.9, -61472.395, -61450.02, -62509.69, -62667.676]","[-64165.332, -63757.836, -63447.438, -63874.895, -64192.176, -63863.65, -63456.445, -63780.77, -64188.04, -63950.82]","[-86039.6, -86173.22, -86246.93, -86114.164, -86030.14, -86149.93, -86251.875, -86151.38, -86034.14, -86125.32]","[-82197.266, -82180.95, -82225.05, -82257.46, -82216.375, -82194.0, -82225.54, -82270.05, -82229.695, -82195.91]","[-85354.43, -85500.3, -85573.52, -85429.24, -85343.45, -85474.32, -85580.25, -85468.336, -85346.2, -85448.664]","[-90142.555, -90256.81, -90327.734, -90222.57, -90148.09, -90247.445, -90338.84, -90259.61, -90151.984, -90225.34]","[-69161.39, -68707.85, -68428.26, -68899.27, -69203.055, -68818.984, -68423.984, -68793.016, -69193.67, -68905.17]","[-85376.375, -85359.55, -85408.12, -85437.13, -85388.96, -85366.19, -85407.2, -85446.38, -85402.414, -85365.984]"
Left,2025-10-28 18:44:25,"[-61583.996, -61291.992, -62289.82, -62692.664, -61735.94, -61154.13, -62046.7, -62685.645, -61889.68, -61076.746]","[-63476.72, -63683.9, -64154.668, -64029.254, -63527.277, -63594.895, -64108.402, -64098.477, -63598.67, -63529.492]","[-86248.72, -86170.87, -86040.336, -86087.86, -86230.88, -86203.03, -86052.92, -86070.98, -86226.86, -86236.984]","[-82220.734, -82265.62, -82245.44, -82201.06, -82210.27, -82269.24, -82258.734, -82208.22, -82214.19, -82271.984]","[-85579.53, -85491.69, -85356.75, -85414.305, -85567.82, -85533.89, -85375.73, -85401.45, -85568.71, -85572.516]","[-90337.39, -90278.3, -90169.24, -90205.586, -90327.96, -90313.875, -90183.86, -90191.99, -90324.38, -90338.76]","[-68428.305, -68679.76, -69154.58, -68979.984, -68463.26, -68577.81, -69111.125, -69065.91, -68541.086, -68512.61]","[-85394.77, -85440.68, -85414.94, -85363.15, -85377.67, -85435.54, -85421.125, -85369.445, -85376.984, -85438.586]"
Left,2025-10-28 18:44:25,"[-61820.03, -62657.17, -62041.6, -61065.234, -61577.2, -62550.707, -62201.707, -61107.254, -61338.15, -62373.28]","[-64050.062, -64157.17, -63682.8, -63477.57, -63967.652, -64197.61, -63791.344, -63468.0, -63885.4, -64217.098]","[-86079.97, -86064.38, -86218.93, -86258.0, -86115.52, -86062.24, -86203.17, -86280.15, -86152.27, -86062.195]","[-82271.09, -82217.45, -82213.47, -82262.53, -82282.65, -82234.234, -82221.83, -82270.89, -82300.375, -82254.8]","[-85402.53, -85390.34, -85557.09, -85592.945, -85437.016, -85384.36, -85537.4, -85614.086, -85473.45, -85381.48]","[-90201.984, -90178.586, -90309.43, -90347.85, -90227.24, -90175.9, -90293.05, -90366.07, -90263.05, -90179.01]","[-69064.164, -69133.61, -68622.336, -68456.33, -68985.305, -69190.32, -68735.08, -68438.47, -68899.055, -69212.02]","[-85434.76, -85377.0, -85380.24, -85434.94, -85450.695, -85400.516, -85384.516, -85431.27, -85461.09, -85412.03]"
Left,2025-10-28 18:44:25,"[-62309.152, -61221.406, -61171.426, -62225.402, -62390.56, -61317.965, -60997.13, -61998.8, -62436.18, -61506.168]","[-63896.53, -63487.223, -63802.34, -64212.85, -63986.54, -63516.797, -63713.18, -64186.32, -64069.62, -63570.64]","[-86167.79, -86278.72, -86181.46, -86065.37, -86158.84, -86284.87, -86213.0, -86072.19, -86122.03, -86261.73]","[-82221.05, -82254.51, -82300.62, -82266.13, -82233.9, -82256.766, -82303.73, -82275.81, -82227.95, -82239.664]","[-85499.266, -85612.91, -85503.96, -85383.04, -85486.39, -85620.15, -85537.87, -85391.46, -85451.45, -85601.98]","[-90268.33, -90367.27, -90288.51, -90184.414, -90259.32, -90371.32, -90316.0, -90193.516, -90229.5, -90351.72]","[-68843.195, -68443.7, -68803.2, -69215.46, -68940.71, -68471.086, -68710.47, -69190.41, -69024.51, -68508.12]","[-85379.73, -85420.27, -85461.984, -85422.266, -85389.07, -85419.27, -85464.89, -85430.47, -85379.57, -85396.02]"
Left,2025-10-28 18:44:25,"[-60929.87, -61801.21, -62450.84, -61659.074, -60838.05, -61532.945, -62371.715, -61805.793, -60797.816, -61281.31]","[-63630.812, -64140.344, -64146.176, -63645.88, -63565.543, -64083.277, -64204.133, -63745.945, -63524.24, -64002.926]","[-86234.64, -86094.984, -86111.1, -86270.11, -86277.64, -86130.305, -86102.164, -86253.88, -86303.73, -86149.7]","[-82299.836, -82295.57, -82248.07, -82249.52, -82302.68, -82311.98, -82256.03, -82249.97, -82302.66, -82314.28]","[-85565.9, -85414.89, -85437.46, -85605.016, -85605.15, -85446.61, -85423.586, -85586.22, -85632.88, -85464.734]","[-90338.82, -90217.12, -90221.14, -90353.086, -90366.43, -90242.305, -90210.1, -90338.06, -90388.13, -90256.1]","[-68613.4, -69140.09, -69104.71, -68585.5, -68551.88, -69093.69, -69177.98, -68677.68, -68490.98, -69010.38]","[-85455.01, -85448.375, -85400.85, -85410.89, -85467.88, -85469.43, -85411.58, -85407.83, -85463.91, -85475.125]"
