hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-58007.27, -59031.83, -58803.28, -57689.652, -57792.805, -58864.01, -58908.223, -57801.41, -57626.953, -58680.348]","[-64529.62, -64799.027, -64435.633, -64073.2, -64445.465, -64812.414, -64536.504, -64101.16, -64365.65, -64810.76]","[-86641.98, -86570.05, -86701.12, -86798.484, -86677.85, -86571.48, -86680.445, -86803.914, -86712.23, -86583.77]","[-82818.016, -82768.6, -82754.18, -82798.28, -82831.2, -82785.34, -82759.28, -82794.82, -82838.83, -82808.19]","[-85924.77, -85854.59, -85999.7, -86100.28, -85967.516, -85858.93, -85980.01, -86109.56, -86006.54, -85872.5]","[-90781.97, -90715.07, -90829.04, -90919.01, -90817.93, -90720.61, -90811.67, -90924.46, -90850.766, -90737.71]","[-69611.49, -69860.664, -69445.53, -69098.54, -69518.98, -69885.32, -69558.945, -69125.85, -69436.7, -69883.42]","[-85961.55, -85909.266, -85892.7, -85943.734, -85978.35, -85931.055, -85902.875, -85945.12, -85990.05, -85955.35]"
Left,2025-10-28 18:44:25,"[-58987.17, -57975.977, -57541.035, -58523.82, -59052.324, -58176.76, -57482.25, -58332.176, -59103.98, -58406.652]","[-64638.363, -64154.133, -64286.547, -64781.188, -64720.01, -64222.375, -64211.8, -64725.332, -64778.195, -64290.613]","[-86658.805, -86798.22, -86742.25, -86596.625, -86637.82, -86783.375, -86768.445, -86607.49, -86607.84, -86760.375]","[-82771.664, -82791.06, -82840.055, -82821.484, -82782.75, -82789.81, -82838.29, -82830.42, -82780.266, -82778.92]","[-85957.45, -86105.89, -86041.03, -85889.1, -85940.49, -86096.08, -86074.984, -85905.33, -85911.586, -86076.55]","[-90797.19, -90919.38, -90877.68, -90752.555, -90784.72, -90910.16, -90903.25, -90767.28, -90760.71, -90892.01]","[-69662.19, -69171.766, -69354.31, -69864.445, -69757.96, -69240.695, -69281.625, -69823.3, -69834.09, -69313.66]","[-85914.07, -85939.555, -85989.87, -85967.76, -85926.164, -85940.086, -85993.95, -85982.914, -85927.305, -85926.03]"
Left,2025-10-28 18:44:25,"[-57508.0, -58117.555, -59032.41, -58588.996, -57580.016, -57955.86, -58961.2, -58750.8, -57652.95, -57753.98]","[-64145.527, -64634.203, -64793.594, -64364.465, -64106.098, -64559.64, -64836.58, -64479.33, -64114.01, -64474.836]","[-86781.68, -86629.7, -86584.89, -86732.34, -86796.65, -86674.63, -86600.85, -86722.06, -86813.484, -86696.695]","[-82826.65, -82833.89, -82776.29, -82766.41, -82817.77, -82854.74, -82811.516, -82791.555, -82831.3, -82862.37]","[-86093.11, -85928.51, -85886.11, -86045.72, -86109.78, -85974.625, -85901.58, -86033.72, -86127.77, -86000.7]","[-90917.84, -90790.484, -90743.21, -90866.68, -90930.25, -90831.945, -90762.92, -90865.36, -90950.63, -90851.46]","[-69208.13, -69729.42, -69861.27, -69382.43, -69148.43, -69640.26, -69902.22, -69493.27, -69141.97, -69555.09]","[-85976.945, -85982.04, -85921.31, -85913.266, -85968.43, -86001.89, -85953.5, -85926.836, -85969.88, -86004.1]"
Left,2025-10-28 18:44:25,"[-58833.637, -58925.055, -57808.766, -57613.008, -58678.96, -59002.727, -57989.523, -57500.555, -58463.938, -59025.055]","[-64844.51, -64572.87, -64119.867, -64372.11, -64820.684, -64654.188, -64168.66, -64288.332, -64786.49, -64737.625]","[-86582.9, -86685.74, -86815.9, -86722.4, -86589.61, -86666.07, -86812.25, -86765.78, -86613.39, -86648.57]","[-82816.164, -82784.805, -82824.08, -82865.9, -82832.39, -82799.734, -82821.84, -82873.83, -82850.63, -82805.3]","[-85886.336, -86001.51, -86139.53, -86034.26, -85895.72, -85981.26, -86135.625, -86079.164, -85914.72, -85957.01]","[-90748.95, -90831.586, -90951.91, -90879.0, -90763.664, -90823.2, -90950.945, -90918.54, -90784.16, -90809.88]","[-69922.85, -69601.19, -69151.914, -69458.09, -69914.71, -69699.47, -69206.164, -69373.58, -69884.695, -69781.68]","[-85953.43, -85919.52, -85961.7, -86003.74, -85966.734, -85929.805, -85958.87, -86011.81, -85985.87, -85936.78]"
Left,2025-10-28 18:44:25,"[-58149.562, -57436.406, -58231.324, -59014.82, -58349.81, -57423.508, -58024.547, -58952.145, -58510.16, -57463.004]","[-64241.016, -64220.16, -64731.098, -64792.477, -64315.223, -64157.17, -64653.004, -64829.535, -64402.438, -64128.027]","[-86797.91, -86782.52, -86634.22, -86621.17, -86780.36, -86810.98, -86657.76, -86613.01, -86758.54, -86824.48]","[-82815.586, -82860.46, -82860.4, -82799.51, -82804.984, -82860.89, -82870.3, -82817.86, -82809.26, -82857.11]","[-86117.38, -86095.03, -85936.35, -85928.914, -86101.36, -86128.23, -85962.71, -85920.77, -86078.69, -86143.4]","[-90940.555, -90932.95, -90807.09, -90785.766, -90923.14, -90956.36, -90825.89, -90781.03, -90905.28, -90967.15]","[-69258.195, -69283.5, -69816.26, -69844.84, -69333.21, -69212.96, -69743.43, -69894.484, -69420.85, -69173.11]","[-85952.6, -86004.75, -85999.41, -85938.1, -85939.59, -85996.99, -86007.12, -85948.695, -85937.36, -85991.03]"
Left,2025-10-28 18:44:25,"[-57779.17, -58788.55, -58631.754, -57515.555, -57585.715, -58654.04, -58738.195, -57652.457, -57455.83, -58500.15]","[-64568.96, -64857.742, -64512.098, -64135.984, -64497.434, -64874.64, -64609.863, -64164.1, -64409.816, -64858.547]","[-86703.36, -86620.12, -86741.914, -86850.74, -86738.516, -86629.51, -86733.24, -86856.664, -86769.625, -86640.34]","[-82893.59, -82845.086, -82817.57, -82862.01, -82903.13, -82860.76, -82827.56, -82860.266, -82906.664, -82877.92]","[-86007.52, -85922.43, -86055.67, -86166.445, -86038.88, -85926.38, -86040.96, -86170.47, -86072.234, -85937.79]","[-90868.23, -90788.9, -90886.77, -90984.695, -90894.58, -90794.484, -90875.914, -90987.18, -90921.484, -90806.89]","[-69655.164, -69929.96, -69534.805, -69173.664, -69580.4, -69956.49, -69645.11, -69204.16, -69496.29, -69951.375]","[-86024.65, -85973.21, -85946.57, -85996.28, -86035.1, -85990.23, -85956.49, -85993.69, -86036.4, -86001.625]"
Left,2025-10-28 18:44:25,"[-58833.902, -57838.38, -57325.832, -58262.93, -58860.414, -58023.05, -57292.395, -58078.816, -58857.664, -58204.098]","[-64697.617, -64207.22, -64316.52, -64818.965, -64780.676, -64283.527, -64252.414, -64763.105, -64835.414, -64365.0]","[-86708.72, -86843.45, -86807.984, -86650.41, -86676.69, -86826.516, -86823.875, -86673.16, -86667.55, -86817.55]","[-82836.44, -82848.33, -82911.695, -82892.61, -82842.92, -82849.516, -82903.54, -82902.44, -82851.63, -82852.87]","[-86015.5, -86159.16, -86116.24, -85951.51, -85987.05, -86149.59, -86142.375, -85981.77, -85982.16, -86145.66]","[-90858.52, -90975.94, -90957.07, -90823.23, -90839.7, -90968.914, -90974.26, -90844.58, -90830.984, -90960.555]","[-69745.42, -69244.68, -69398.37, -69917.016, -69832.234, -69309.766, -69323.17, -69861.96, -69897.234, -69390.92]","[-85960.83, -85979.984, -86039.42, -86014.01, -85962.95, -85976.12, -86033.74, -86028.65, -85973.88, -85975.516]"
Left,2025-10-28 18:44:25,"[-57278.445, -57856.285, -58787.746, -58358.527, -57313.492, -57631.895, -58655.582, -58520.2, -57419.754, -57458.555]","[-64197.652, -64689.3, -64877.703, -64454.25, -64167.387, -64604.434, -64906.137, -64566.836, -64183.348, -64528.3]","[-86849.49, -86701.79, -86656.17, -86801.91, -86864.84, -86739.86, -86661.36, -86781.92, -86887.76, -86777.48]","[-82904.09, -82920.48, -82873.25, -82861.11, -82898.75, -82932.17, -82889.48, -82861.56, -82903.58, -82945.24]","[-86174.94, -86016.71, -85973.51, -86131.125, -86193.58, -86056.36, -85976.08, -86108.445, -86218.44, -86095.81]","[-90996.7, -90874.8, -90833.375, -90955.51, -91014.76, -90913.484, -90837.06, -90929.734, -91028.734, -90941.13]","[-69259.805, -69787.82, -69951.91, -69483.62, -69224.47, -69699.336, -69987.086, -69600.49, -69227.13, -69616.72]","[-86028.78, -86042.26, -85990.49, -85978.71, -86025.18, -86055.6, -86009.555, -85983.38, -86027.7, -86065.055]"
Left,2025-10-28 18:44:25,"[-58537.25, -58645.344, -57563.61, -57309.54, -58332.285, -58715.863, -57737.484, -57204.418, -58142.97, -58749.37]","[-64915.59, -64662.992, -64204.895, -64431.94, -64891.832, -64749.965, -64261.69, -64356.105, -64855.977, -64820.527]","[-86664.58, -86763.17, -86884.45, -86809.1, -86674.27, -86729.125, -86876.734, -86840.35, -86687.51, -86711.13]","[-82905.305, -82876.625, -82900.54, -82949.05, -82921.98, -82874.34, -82895.555, -82951.73, -82933.47, -82881.81]","[-85979.02, -86087.56, -86215.44, -86128.58, -85985.98, -86050.234, -86207.51, -86161.37, -86000.39, -86033.02]","[-90840.91, -90921.06, -91027.08, -90969.74, -90851.82, -90893.234, -91023.57, -90999.02, -90866.59, -90878.51]","[-69997.7, -69693.73, -69240.38, -69515.29, -69979.47, -69792.875, -69293.805, -69437.195, -69958.1, -69878.414]","[-86019.37, -85987.12, -86017.2, -86064.19, -86030.88, -85980.57, -86005.734, -86063.875, -86042.37, -85988.26]"
Left,2025-10-28 18:44:25,"[-57918.98, -57158.33, -57925.305, -58739.312, -58119.32, -57166.508, -57702.168, -58637.945, -58268.695, -57233.7]","[-64325.527, -64281.85, -64796.008, -64886.934, -64419.875, -64235.473, -64718.492, -64918.9, -64510.04, -64216.094]","[-86864.29, -86867.46, -86717.1, -86705.66, -86863.305, -86902.33, -86760.086, -86705.45, -86837.555, -86908.43]","[-82889.836, -82950.27, -82954.27, -82904.836, -82905.77, -82959.234, -82978.21, -82925.266, -82907.336, -82955.8]","[-86198.02, -86196.28, -86035.98, -86029.875, -86200.53, -86237.1, -86083.92, -86031.91, -86177.4, -86250.195]","[-91010.41, -91023.234, -90898.6, -90882.55, -91016.8, -91057.56, -90940.82, -90889.28, -91000.055, -91070.195]","[-69356.99, -69361.95, -69909.484, -69963.58, -69457.734, -69308.555, -69830.695, -70002.734, -69549.4, -69283.125]","[-86001.0, -86061.97, -86062.69, -86009.516, -86011.66, -86065.75, -86082.516, -86026.34, -86009.53, -86061.52]"
Left,2025-10-28 18:44:25,"[-57541.703, -58572.39, -58451.2, -57352.99, -57368.86, -58429.293, -58581.395, -57484.17, -57202.004, -58229.02]","[-64638.316, -64939.082, -64606.62, -64215.42, -64546.875, -64939.125, -64699.83, -64232.7, -64450.85, -64916.37]","[-86778.68, -86698.414, -86820.88, -86925.64, -86817.125, -86704.0, -86795.22, -86932.22, -86858.03, -86726.266]","[-82985.19, -82945.516, -82924.21, -82960.71, -83001.7, -82965.164, -82930.695, -82962.79, -83016.03, -82996.27]","[-86109.445, -86029.805, -86165.055, -86274.875, -86156.43, -86040.13, -86143.625, -86289.375, -86204.89, -86066.64]","[-90964.05, -90891.05, -90990.445, -91083.586, -90996.164, -90895.875, -90968.76, -91091.875, -91036.76, -90922.49]","[-69748.484, -70032.8, -69649.65, -69272.75, -69650.0, -70039.73, -69753.11, -69292.195, -69562.67, -70041.85]","[-86088.93, -86039.375, -86015.59, -86060.25, -86097.51, -86055.6, -86020.375, -86059.07, -86112.8, -86085.914]"
Left,2025-10-28 18:44:25,"[-58623.688, -57643.695, -57068.094, -57976.87, -58614.188, -57801.03, -57019.055, -57763.188, -58580.258, -57981.832]","[-64782.598, -64291.04, -64368.465, -64874.395, -64859.4, -64363.324, -64304.582, -64817.062, -64915.12, -64452.195]","[-86788.05, -86936.016, -86899.02, -86743.48, -86762.945, -86914.29, -86921.64, -86775.84, -86754.83, -86905.52]","[-82956.87, -82975.51, -83032.22, -83017.76, -82967.62, -82973.37, -83033.24, -83043.08, -82989.68, -82985.234]","[-86139.64, -86298.9, -86255.445, -86092.93, -86120.24, -86283.61, -86287.21, -86131.35, -86115.59, -86278.695]","[-90971.4, -91102.984, -91082.6, -90952.18, -90960.02, -91091.05, -91107.74, -90985.77, -90959.42, -91086.47]","[-69861.85, -69355.945, -69475.52, -70000.01, -69942.43, -69421.03, -69406.164, -69949.875, -70017.33, -69521.28]","[-86044.07, -86070.0, -86125.79, -86106.67, -86051.625, -86059.78, -86119.95, -86124.914, -86063.516, -86060.81]"
Left,2025-10-28 18:44:25,"[-57030.32, -57549.64, -58470.4, -58097.234, -57042.97, -57313.023, -58348.246, -58237.45, -57127.797, -57109.02]","[-64262.496, -64741.78, -64946.39, -64542.496, -64242.758, -64658.055, -64964.207, -64633.78, -64236.7, -64564.062]","[-86947.125, -86810.734, -86763.51, -86899.875, -86971.71, -86849.47, -86757.78, -86881.63, -86990.04, -86883.016]","[-83036.375, -83058.68, -83013.555, -82995.89, -83035.234, -83067.94, -83021.914, -82997.73, -83033.83, -83074.7]","[-86317.05, -86166.805, -86119.82, -86267.5, -86339.516, -86202.99, -86108.914, -86243.36, -86353.46, -86233.63]","[-91127.93, -91011.23, -90963.15, -91074.91, -91138.164, -91034.836, -90952.47, -91053.25, -91144.87, -91059.69]","[-69370.07, -69886.4, -70068.83, -69625.75, -69353.664, -69812.3, -70108.234, -69726.984, -69343.67, -69716.19]","[-86117.43, -86133.05, -86081.64, -86063.25, -86110.07, -86138.51, -86088.1, -86066.84, -86107.8, -86146.4]"
Left,2025-10-28 18:44:25,"[-58172.562, -58333.83, -57252.52, -56933.38, -57942.72, -58357.855, -57404.777, -56829.957, -57730.758, -58386.49]","[-64966.375, -64733.938, -64264.684, -64466.543, -64936.957, -64812.637, -64319.223, -64388.133, -64892.703, -64885.906]","[-86764.69, -86859.52, -86986.17, -86914.914, -86774.66, -86823.67, -86961.14, -86935.37, -86781.03, -86800.81]","[-83034.984, -83003.67, -83027.234, -83076.65, -83054.164, -83011.164, -83023.81, -83084.32, -83069.68, -83022.05]","[-86111.52, -86215.84, -86350.04, -86268.164, -86120.49, -86178.13, -86325.97, -86292.914, -86128.85, -86156.836]","[-90953.54, -91028.62, -91142.37, -91089.88, -90973.09, -91012.98, -91135.7, -91122.9, -90990.4, -90999.23]","[-70113.195, -69827.34, -69366.94, -69621.64, -70097.4, -69924.52, -69418.17, -69533.69, -70051.91, -70000.414]","[-86105.2, -86071.38, -86103.73, -86153.95, -86124.11, -86073.91, -86087.54, -86146.22, -86129.19, -86077.08]"
Left,2025-10-28 18:44:25,"[-57591.01, -56757.875, -57458.87, -58290.49, -57726.598, -56755.348, -57248.34, -58209.62, -57870.03, -56786.26]","[-64396.74, -64322.71, -64830.25, -64939.684, -64479.305, -64271.594, -64747.863, -64967.29, -64566.566, -64247.14]","[-86957.61, -86972.336, -86818.84, -86792.72, -86937.85, -86981.836, -86836.51, -86779.33, -86916.26, -86990.6]","[-83033.516, -83089.01, -83090.17, -83032.57, -83021.11, -83067.87, -83084.984, -83034.48, -83017.93, -83059.84]","[-86325.63, -86334.195, -86167.625, -86143.83, -86300.96, -86343.42, -86186.25, -86130.68, -86279.88, -86355.72]","[-91135.1, -91151.95, -91017.24, -90985.59, -91108.28, -91151.42, -91029.38, -90973.055, -91087.61, -91156.13]","[-69486.57, -69458.23, -69995.92, -70072.65, -69579.04, -69408.18, -69916.19, -70113.33, -69670.55, -69378.49]","[-86090.914, -86151.2, -86148.48, -86090.02, -86081.84, -86133.81, -86151.086, -86099.01, -86082.71, -86128.71]"
Left,2025-10-28 18:44:25,"[-57046.055, -58090.418, -58011.605, -56887.87, -56845.895, -57905.77, -58085.613, -57020.508, -56674.926, -57690.23]","[-64660.87, -64984.793, -64671.777, -64260.082, -64571.305, -64980.14, -64754.59, -64284.78, -64473.137, -64948.83]","[-86858.234, -86773.65, -86895.625, -87003.25, -86895.07, -86780.11, -86866.32, -86991.11, -86924.62, -86782.055]","[-83087.16, -83045.94, -83027.766, -83061.9, -83100.3, -83064.72, -83029.04, -83051.125, -83104.08, -83079.96]","[-86210.92, -86125.63, -86260.945, -86374.27, -86254.42, -86134.93, -86233.41, -86366.266, -86289.67, -86139.47]","[-91045.65, -90968.49, -91070.57, -91168.32, -91080.97, -90979.11, -91051.35, -91164.85, -91117.69, -90993.57]","[-69834.2, -70140.805, -69777.43, -69386.41, -69747.92, -70148.4, -69870.68, -69395.84, -69626.336, -70111.63]","[-86152.92, -86108.42, -86088.93, -86131.195, -86165.95, -86126.75, -86090.74, -86117.23, -86164.86, -86137.7]"
Left,2025-10-28 18:44:25,"[-58132.64, -57163.535, -56557.2, -57446.664, -58116.01, -57329.387, -56514.062, -57232.133, -58066.234, -57490.92]","[-64837.473, -64341.152, -64396.94, -64904.547, -64910.492, -64423.582, -64349.086, -64865.188, -64979.203, -64520.746]","[-86843.26, -86993.52, -86965.5, -86812.99, -86832.77, -86990.11, -86994.89, -86846.85, -86829.445, -86976.13]","[-83044.84, -83059.35, -83112.77, -83100.08, -83055.08, -83062.75, -83116.52, -83127.14, -83075.82, -83063.484]","[-86209.25, -86368.836, -86332.805, -86169.08, -86194.32, -86361.914, -86359.01, -86197.555, -86183.55, -86341.34]","[-91040.914, -91169.28, -91150.88, -91018.38, -91029.4, -91164.875, -91175.38, -91051.15, -91025.58, -91145.48]","[-69950.766, -69438.42, -69540.68, -70064.72, -70029.13, -69519.734, -69490.81, -70026.38, -70104.125, -69611.67]","[-86098.12, -86120.83, -86177.87, -86158.58, -86108.914, -86120.89, -86177.53, -86182.47, -86127.17, -86119.73]"
Left,2025-10-28 18:44:25,"[-56485.785, -56953.832, -57932.414, -57618.17, -56521.617, -56732.01, -57777.227, -57716.293, -56604.652, -56525.215]","[-64302.75, -64780.543, -65013.895, -64621.934, -64290.21, -64691.715, -65023.594, -64712.348, -64295.797, -64597.95]","[-87025.49, -86876.336, -86817.91, -86954.08, -87035.63, -86906.805, -86817.73, -86930.47, -87039.86, -86946.48]","[-83113.664, -83131.836, -83081.68, -83060.67, -83100.01, -83131.19, -83088.68, -83061.81, -83094.87, -83140.69]","[-86387.88, -86225.19, -86168.766, -86315.64, -86396.82, -86254.8, -86163.31, -86287.81, -86401.36, -86294.164]","[-91195.63, -91073.055, -91015.99, -91126.586, -91201.086, -91095.25, -91013.98, -91109.625, -91206.766, -91128.76]","[-69428.25, -69938.516, -70150.57, -69719.78, -69415.555, -69862.19, -70178.24, -69820.3, -69422.64, -69770.766]","[-86176.86, -86193.31, -86138.664, -86122.03, -86167.02, -86196.484, -86150.87, -86121.36, -86156.97, -86197.29]"
Left,2025-10-28 18:44:25,"[-57556.95, -57748.324, -56691.58, -56305.92, -57298.383, -57761.98, -56798.844, -56169.645, -57041.695, -57730.375]","[-65008.215, -64794.51, -64326.4, -64503.066, -64983.383, -64880.92, -64379.55, -64425.46, -64938.836, -64954.37]","[-86831.92, -86908.37, -87036.484, -86976.85, -86826.89, -86872.67, -87016.17, -86985.63, -86833.11, -86846.25]","[-83109.59, -83065.945, -83088.36, -83144.71, -83116.64, -83069.27, -83079.266, -83130.45, -83122.83, -83075.42]","[-86173.77, -86260.45, -86396.96, -86326.73, -86168.03, -86221.56, -86374.09, -86334.195, -86172.03, -86192.4]","[-91028.555, -91089.59, -91206.875, -91165.77, -91033.29, -91066.125, -91192.305, -91173.68, -91042.88, -91047.28]","[-70177.44, -69914.516, -69442.336, -69662.74, -70148.83, -69997.375, -69477.85, -69568.33, -70100.14, -70078.11]","[-86158.46, -86117.56, -86141.97, -86193.22, -86159.02, -86107.44, -86119.73, -86174.94, -86165.57, -86116.555]"
Left,2025-10-28 18:44:25,"[-56971.066, -56122.21, -56797.527, -57652.613, -57112.598, -56110.793, -56565.805, -57544.05, -57251.043, -56149.504]","[-64469.652, -64371.39, -64870.125, -64998.492, -64550.14, -64320.406, -64787.246, -65031.953, -64650.05, -64314.395]","[-87004.37, -87018.16, -86863.28, -86829.016, -86975.805, -87014.38, -86874.77, -86811.984, -86945.47, -87029.94]","[-83083.984, -83136.82, -83135.73, -83079.336, -83069.72, -83110.2, -83133.0, -83089.414, -83073.86, -83114.83]","[-86361.84, -86370.02, -86203.125, -86172.66, -86331.266, -86368.57, -86216.76, -86155.516, -86301.67, -86387.64]","[-91183.09, -91201.22, -91068.09, -91030.41, -91155.98, -91197.266, -91081.484, -91025.89, -91141.56, -91216.71]","[-69569.13, -69513.97, -70043.28, -70139.98, -69649.53, -69454.336, -69956.18, -70179.805, -69754.586, -69441.28]","[-86126.99, -86182.76, -86180.57, -86123.4, -86119.664, -86166.35, -86183.39, -86135.266, -86119.234, -86166.29]"
Left,2025-10-28 18:44:25,"[-56328.273, -57379.05, -57340.562, -56221.008, -56107.504, -57171.137, -57447.47, -56413.59, -56012.62, -56985.1]","[-64712.03, -65054.953, -64752.758, -64327.09, -64612.074, -65038.457, -64843.016, -64367.547, -64534.383, -65021.582]","[-86906.33, -86815.41, -86935.66, -87049.23, -86952.445, -86825.84, -86900.63, -87037.16, -86982.195, -86846.63]","[-83147.46, -83106.22, -83084.41, -83116.28, -83155.28, -83119.12, -83079.336, -83104.28, -83159.086, -83145.78]","[-86254.195, -86164.99, -86299.28, -86418.125, -86309.79, -86176.63, -86259.0, -86402.1, -86334.35, -86186.805]","[-91114.516, -91031.52, -91128.195, -91229.336, -91152.85, -91041.336, -91099.43, -91220.13, -91178.84, -91062.33]","[-69880.31, -70209.42, -69856.375, -69441.664, -69774.03, -70201.94, -69954.97, -69470.766, -69680.31, -70174.51]","[-86196.4, -86151.47, -86127.62, -86164.21, -86204.734, -86165.375, -86118.79, -86146.87, -86199.93, -86180.03]"
Left,2025-10-28 18:44:25,"[-57451.316, -56509.457, -55856.63, -56720.258, -57432.516, -56703.293, -55827.594, -56495.598, -57360.992, -56854.367]","[-64937.406, -64443.387, -64473.34, -64986.6, -65013.984, -64529.418, -64414.53, -64919.168, -65065.906, -64622.895]","[-86894.46, -87043.26, -87011.92, -86862.03, -86864.49, -87019.68, -87035.8, -86881.74, -86858.48, -86996.72]","[-83109.086, -83123.164, -83170.75, -83164.516, -83110.266, -83110.445, -83164.31, -83169.88, -83127.39, -83109.125]","[-86240.92, -86398.14, -86358.22, -86198.07, -86207.305, -86373.53, -86384.11, -86216.78, -86197.4, -86344.74]","[-91099.01, -91227.84, -91207.836, -91077.8, -91070.195, -91201.51, -91223.44, -91089.39, -91064.23, -91178.8]","[-70044.266, -69530.625, -69608.25, -70141.79, -70130.81, -69615.56, -69538.49, -70073.55, -70185.22, -69706.77]","[-86137.3, -86155.2, -86206.79, -86196.016, -86142.375, -86148.07, -86205.2, -86207.35, -86160.09, -86151.76]"
Left,2025-10-28 18:44:25,"[-55859.56, -56293.36, -57276.883, -57006.83, -55901.668, -56067.652, -57130.21, -57149.03, -56047.223, -55913.74]","[-64381.9, -64843.33, -65094.137, -64719.832, -64374.926, -64761.43, -65109.938, -64820.082, -64391.664, -64667.754]","[-87045.31, -86915.49, -86855.73, -86989.46, -87076.97, -86950.836, -86854.41, -86958.61, -87081.305, -86987.71]","[-83149.0, -83175.78, -83131.26, -83111.99, -83152.53, -83181.62, -83138.41, -83104.75, -83139.484, -83184.836]","[-86388.93, -86243.24, -86181.305, -86325.34, -86413.07, -86271.92, -86171.09, -86286.32, -86413.14, -86307.555]","[-91223.88, -91115.43, -91056.984, -91166.305, -91247.375, -91142.63, -91054.7, -91137.96, -91247.42, -91173.234]","[-69501.9, -70002.31, -70228.06, -69798.8, -69472.06, -69899.09, -70233.83, -69894.62, -69469.94, -69789.766]","[-86202.03, -86228.67, -86184.86, -86169.04, -86219.26, -86248.66, -86204.445, -86172.99, -86218.3, -86263.63]"
Left,2025-10-28 18:44:25,"[-56968.605, -57230.926, -56181.96, -55766.44, -56747.594, -57273.215, -56364.773, -55688.32, -56535.81, -57253.234]","[-65098.94, -64910.516, -64425.773, -64572.56, -65061.434, -64989.64, -64494.305, -64507.605, -65018.97, -65057.926]","[-86864.29, -86946.99, -87078.125, -87014.266, -86873.2, -86913.016, -87067.78, -87050.92, -86901.19, -86908.92]","[-83153.32, -83120.77, -83137.58, -83183.47, -83166.46, -83119.7, -83135.01, -83188.25, -83178.71, -83130.41]","[-86179.81, -86273.11, -86413.164, -86340.79, -86191.88, -86239.6, -86403.73, -86376.73, -86214.92, -86226.8]","[-91064.625, -91131.8, -91247.8, -91201.29, -91080.836, -91108.62, -91245.45, -91236.13, -91102.56, -91100.88]","[-70216.69, -69976.2, -69490.32, -69683.89, -70176.92, -70054.55, -69539.36, -69600.9, -70134.12, -70131.91]","[-86228.42, -86191.21, -86214.79, -86258.445, -86234.91, -86186.336, -86204.35, -86259.2, -86248.01, -86198.9]"
Left,2025-10-28 18:44:25,"[-56533.15, -55655.934, -56299.844, -57185.953, -56703.895, -55696.188, -56094.07, -57082.62, -56844.02, -55758.035]","[-64578.594, -64456.664, -64959.89, -65110.496, -64675.355, -64423.45, -64877.77, -65142.75, -64777.12, -64424.59]","[-87058.55, -87083.13, -86934.83, -86897.86, -87040.89, -87094.42, -86966.305, -86902.06, -87028.51, -87117.69]","[-83129.85, -83181.99, -83192.79, -83142.03, -83132.664, -83174.44, -83204.55, -83163.29, -83141.49, -83176.516]","[-86387.81, -86407.06, -86245.99, -86211.055, -86365.734, -86418.7, -86277.484, -86213.336, -86352.19, -86443.85]","[-91228.76, -91253.39, -91128.04, -91091.695, -91211.34, -91262.93, -91158.04, -91096.59, -91200.17, -91281.46]","[-69618.305, -69537.1, -70071.78, -70192.836, -69715.74, -69502.46, -70000.57, -70245.055, -69835.12, -69507.82]","[-86202.52, -86259.38, -86266.914, -86213.72, -86203.62, -86253.19, -86282.3, -86239.22, -86216.71, -86262.18]"
Left,2025-10-28 18:44:25,"[-55902.25, -56977.3, -57010.27, -55901.152, -55734.61, -56787.824, -57085.395, -56056.254, -55629.043, -56599.58]","[-64803.117, -65162.844, -64882.98, -64451.055, -64720.234, -65157.703, -64977.348, -64496.094, -64635.344, -65125.473]","[-87003.09, -86902.58, -87014.65, -87138.7, -87052.04, -86921.76, -86991.67, -87130.43, -87073.21, -86932.055]","[-83213.4, -83173.32, -83150.14, -83187.27, -83233.805, -83200.945, -83158.44, -83180.45, -83229.72, -83213.33]","[-86316.78, -86211.39, -86335.71, -86465.17, -86366.9, -86230.305, -86309.63, -86459.5, -86393.49, -86245.95]","[-91188.32, -91097.71, -91191.34, -91302.56, -91233.25, -91118.984, -91174.58, -91298.875, -91252.56, -91131.39]","[-69928.08, -70278.89, -69954.766, -69532.08, -69852.016, -70296.51, -70065.25, -69571.46, -69756.51, -70255.65]","[-86298.38, -86251.36, -86226.81, -86269.664, -86318.8, -86283.88, -86239.555, -86264.81, -86311.95, -86290.25]"
Left,2025-10-28 18:44:25,"[-57127.594, -56239.223, -55548.867, -56361.914, -57121.47, -56432.68, -55536.64, -56165.395, -57082.98, -56611.09]","[-65058.777, -64562.992, -64562.297, -65072.12, -65119.01, -64634.137, -64494.64, -64990.715, -65156.766, -64728.797]","[-86971.29, -87120.84, -87108.26, -86955.375, -86944.87, -87096.055, -87120.8, -86972.56, -86937.336, -87092.7]","[-83164.2, -83175.67, -83231.59, -83226.43, -83164.85, -83161.01, -83211.72, -83223.164, -83175.625, -83174.24]","[-86294.01, -86453.22, -86433.37, -86269.4, -86263.48, -86425.945, -86445.51, -86284.33, -86251.29, -86419.664]","[-91158.1, -91289.84, -91286.58, -91155.195, -91135.88, -91266.51, -91294.85, -91170.28, -91134.08, -91267.25]","[-70140.76, -69622.8, -69670.34, -70204.77, -70215.93, -69697.97, -69597.61, -70127.39, -70263.89, -69793.3]","[-86242.84, -86258.266, -86316.36, -86309.02, -86246.69, -86244.2, -86301.336, -86310.164, -86256.21, -86254.89]"
