timestamp,hand,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
2025-10-28 20:16:02.944123,Left,24.964231,-9.549461,-6.00616,-5.69278,3.7770834,16.346056,0.65008104,-5.195665
2025-10-28 20:16:02.944138,Left,9.0016165,6.9792976,11.206633,9.991484,5.0299497,9.819858,20.384258,6.330464
2025-10-28 20:16:02.944149,Left,-30.312714,58.032013,25.664026,12.663081,-29.060375,-57.228428,10.763823,10.868555
2025-10-28 20:16:02.944160,Left,36.52053,-16.67681,2.3700113,4.187622,14.68722,34.185898,13.447023,-4.778616
2025-10-28 20:16:02.944170,Left,6.1610184,18.285194,12.843933,7.935037,-5.6747723,-7.865402,13.174879,4.741245
2025-10-28 20:16:02.944180,Left,-61.59603,149.2987,82.023636,34.643745,-125.907684,-182.47273,79.5241,42.001995
2025-10-28 20:16:02.944189,Left,3.6039891,112.15406,92.78636,37.7466,-149.86377,-167.2827,121.77981,33.212147
2025-10-28 20:16:02.986803,Left,52.323803,30.410095,-70.7524,-74.88551,82.9003,33.147766,-66.28539,-52.92584
2025-10-28 20:16:02.986849,Left,-15.903448,-8.440297,14.892034,25.56619,-1.0873809,1.9759787,21.409239,27.011272
2025-10-28 20:16:02.986864,Left,4.2168965,8.343587,5.9915276,8.87075,13.861409,4.906915,0.25515267,3.0708492
2025-10-28 20:16:02.986874,Left,15.094098,15.088464,-40.419796,-51.128513,45.794144,26.128807,-40.074883,-46.51905
2025-10-28 20:16:02.986883,Left,-11.190023,-7.5735126,20.47997,33.117188,-9.72227,-8.695542,21.617702,31.516048
2025-10-28 20:16:02.986892,Left,3.8871076,5.287991,-4.63609,-2.1188955,20.087261,13.188777,-0.47946844,3.2016118
2025-10-28 20:16:02.986911,Left,110.06608,59.79097,-135.7843,-153.40645,136.49406,46.862476,-142.40155,-125.79578
2025-10-28 20:16:02.986921,Left,128.74211,48.373775,-128.85518,-101.75671,154.04402,31.744238,-127.70056,-76.568
2025-10-28 20:16:03.026983,Left,-53.187138,-33.302666,93.321396,33.261982,-87.36002,-26.035526,35.92395,-5.949454
2025-10-28 20:16:03.027025,Left,8.520938,5.0142326,-30.84153,-37.43329,-6.64508,-17.457071,-32.076538,-22.304169
2025-10-28 20:16:03.027039,Left,-3.5196872,-3.1322186,-5.1959157,-18.148272,-19.943933,-19.384768,-17.64093,-17.044626
2025-10-28 20:16:03.027049,Left,-49.911163,-52.461533,39.751266,24.065735,-70.07509,-35.037693,24.042112,11.8491125
2025-10-28 20:16:03.027058,Left,18.628891,21.63524,-31.329815,-41.290016,9.457216,-7.101757,-36.18381,-28.254124
2025-10-28 20:16:03.027067,Left,-12.486512,-14.122805,-1.9564272,-15.009247,-30.036722,-22.675772,-11.134772,-12.262144
2025-10-28 20:16:03.027076,Left,-121.38515,-84.08494,162.41214,68.033875,-161.5664,-42.81785,81.48664,6.804902
2025-10-28 20:16:03.027085,Left,-91.11,-12.5248,150.91327,5.039793,-122.52462,-0.8827688,48.83956,-48.46929
2025-10-28 20:16:03.054583,Left,21.051712,-23.52086,-68.72751,0.80121756,18.807566,-36.45131,-46.2358,8.28451
2025-10-28 20:16:03.054623,Left,-10.516644,-3.827805,21.218142,13.131865,-0.70454997,5.788296,22.199778,4.4681044
2025-10-28 20:16:03.054635,Left,-2.9172282,-5.3209753,-0.11005982,6.5683665,3.6483855,1.269741,7.1780343,1.96793
2025-10-28 20:16:03.054645,Left,33.375656,14.35396,-45.756374,1.7337366,34.461784,3.3509305,-39.67261,-1.6442089
2025-10-28 20:16:03.054654,Left,-18.733099,-13.558122,28.355246,13.18687,-11.997943,-1.1437032,32.169395,1.9688714
2025-10-28 20:16:03.054664,Left,5.224342,-0.21579376,-3.9989672,9.529444,10.036064,1.9348805,0.9539636,-0.55585957
2025-10-28 20:16:03.054673,Left,54.93813,-25.770046,-122.88662,-1.833517,35.58776,-66.47583,-96.7815,7.6915526
