timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 18:20:33.121926,Right,2362.57347889283,2813.1000207356533,2803.667094177541,2542.16847523547,1804.0114825775709,2379.5922604904713,2627.673026790675,2887.639038324021
2025-12-12 18:20:33.138948,Right,12716.030820534663,15142.120069728542,15090.856841416713,13683.394708049833,9748.821008942681,12807.870725366327,14143.561398766396,15543.831547247264
2025-12-12 18:20:33.141975,Right,29120.19408338827,34680.68607608999,34560.94342474907,31337.550840378266,22419.56057009694,29332.00141191666,32392.206392679254,35601.52036190696
2025-12-12 18:20:33.145990,Right,36417.01663168235,43379.52535906354,43222.61674601429,39191.96307772376,28103.17275519039,36686.0444383436,40514.98504507326,44530.21250120264
2025-12-12 18:20:33.148995,Right,24740.170809537136,29476.466207119724,29353.88301839253,26622.264736737197,18954.029201353136,24928.784142227516,27529.717970553727,30252.062471287165
2025-12-12 18:20:33.153009,Right,3008.5944253714406,3578.7417587657983,3532.479216528416,3224.158680273482,1918.3918209416588,3035.453742568294,3346.4042931754957,3660.511216815008
2025-12-12 18:20:33.157046,Right,-13430.33760745998,-16022.976710568473,-16005.434083941334,-14474.54316958756,-10673.072823867871,-13534.970026955358,-14956.564548095106,-16458.161430763605
2025-12-12 18:20:33.161042,Right,-17686.114347348805,-21094.030355054594,-21052.832507464685,-19048.54695698619,-13475.58242393937,-17828.756620300992,-19694.185071102635,-21652.9312276789
2025-12-12 18:20:33.165040,Right,-12699.713242693048,-15137.95474820456,-15108.838637805311,-13671.873229595774,-9424.703037475934,-12801.058558595541,-14135.394665998057,-15534.620318680303
2025-12-12 18:20:33.169003,Right,-5429.401902453508,-6470.786300378619,-6467.403142141644,-5846.555921539315,-4148.665777153394,-5471.058136108215,-6040.204988889396,-6643.4851630792255
2025-12-12 18:20:33.172008,Right,-1463.6595216569258,-1756.2526236337144,-1768.2343673284631,-1582.9108727088897,-1342.9420746559626,-1477.760842556483,-1633.9598393698689,-1807.3690276746638
2025-12-12 18:20:33.177072,Right,-2343.198261805461,-2806.375121406745,-2813.368649935117,-2527.0803991978755,-1794.3034908836125,-2366.4445197400637,-2615.635740470607,-2880.1180827197386
2025-12-12 18:20:33.181092,Right,-5658.424718213384,-6742.718279409921,-6734.479525840143,-6088.909109064145,-4135.197487665457,-5701.185452508507,-6295.985954689211,-6917.212969367974
