timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 18:05:37.624347,Right,497.2061669053828,1693.0412211359455,1717.6456204691683,1294.6201563209386,3809.475436463944,1187.5205497580332,1150.790482206036,1751.071275035184
2025-12-12 18:05:37.640389,Right,2683.8942249821007,9112.71350388643,9244.722855005108,6967.161250981346,20519.2663423497,6391.901209620873,6191.335486685309,9423.092586785739
2025-12-12 18:05:37.643409,Right,6165.729520894294,20867.345684761443,21167.434927823713,15948.231259859802,47027.32497800907,14634.364246811203,14166.555578896949,21569.105640082144
2025-12-12 18:05:37.646439,Right,7727.266221407377,26088.921870707476,26456.737997519296,19920.01212001813,58836.74995482467,18282.991424665277,17683.984518856356,26940.280306265806
2025-12-12 18:05:37.650406,Right,5230.5789938104335,17707.59997390535,17939.520715223676,13480.99641041019,39915.08498905698,12377.630295449628,11953.576953397092,18230.26841702829
2025-12-12 18:05:37.654415,Right,574.774052979832,2131.9814898946206,2123.696141149936,1554.2509557147423,4698.974630256533,1437.5921696975129,1355.276187135867,2089.990389278697
2025-12-12 18:05:37.658462,Right,-2893.4939397777125,-9630.24844804997,-9813.30359651352,-7427.568078758224,-21822.100266832742,-6793.730947011092,-6628.125705075465,-10077.071505406435
2025-12-12 18:05:37.662450,Right,-3703.9004212928558,-12664.531510482659,-12883.011508494528,-9723.18579803966,-28507.298455780954,-8891.417705585685,-8677.400984492357,-13194.473319712968
2025-12-12 18:05:37.666419,Right,-2605.2722314145212,-9101.805201559386,-9256.484362183197,-6989.67015940143,-20373.57061228063,-6390.4316893558425,-6251.568127087463,-9489.496329902322
2025-12-12 18:05:37.670475,Right,-1125.3308170692762,-3910.814390619169,-3984.0979379707132,-3026.5526734555024,-8762.039005258703,-2770.85997716384,-2718.4557723530743,-4113.2726696324535
2025-12-12 18:05:37.673477,Right,-333.1096997706918,-1065.9833573427168,-1096.5793580875616,-852.603076883126,-2453.3241082283203,-781.004249158781,-774.556844321487,-1168.894510613056
2025-12-12 18:05:37.678441,Right,-476.13128511887044,-1679.1577698593028,-1715.6466048919829,-1314.3309679258964,-3778.419858247973,-1194.9075063573546,-1185.601071175537,-1798.277151281829
2025-12-12 18:05:37.682509,Right,-1136.6462826175848,-4052.5876546172076,-4119.23297897476,-3127.5237173183123,-9042.95067210286,-2853.6508802370518,-2801.4180508196587,-4248.505607416853
2025-12-12 18:05:37.686508,Right,-1612.092420597648,-5523.853294390952,-5610.506734406576,-4256.234996146115,-12417.9278727856,-3896.7041750065982,-3800.387218610209,-5768.208978495211
2025-12-12 18:05:37.690527,Right,-1471.2160521644691,-4887.477469210746,-4965.102321911021,-3763.190291366598,-11071.176972484915,-3449.383488809224,-3357.5939876769553,-5104.830381520209
2025-12-12 18:05:37.694538,Right,-943.4882776174927,-3225.8569931809325,-3276.7844388030935,-2476.8707281707902,-7267.94236290548,-2264.447675141215,-2221.311190544395,-3376.2766586557264
2025-12-12 18:05:37.697536,Right,-641.8255236937839,-2380.526514302008,-2415.8327010644134,-1824.778610191308,-5268.887748525012,-1664.4519448300125,-1651.1590773140197,-2495.8448212810326
