timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 18:23:06.149583,Right,2312.2882686637327,2741.135087564106,2727.0533313496494,2499.245667033103,1425.0257152566178,2335.841207393013,2568.315856671726,2814.686625289427
2025-12-12 18:23:06.166634,Right,12446.315525942431,14754.889626452907,14678.83623644013,13453.297514723039,7725.936881899329,12573.235849559895,13824.420679897717,15151.982612112417
2025-12-12 18:23:06.170638,Right,28501.19507471253,33790.33351171424,33614.94541307648,30810.188208979875,17857.618110204578,28793.875822658516,31658.71192714521,34703.3521435267
2025-12-12 18:23:06.173639,Right,35628.17533347964,42249.30810075425,42026.08175570762,38522.539782754844,22552.774890047338,36002.18754953871,39582.92392828941,43396.85798342092
2025-12-12 18:23:06.177608,Right,24165.227874703094,28672.8189394214,28511.773925370275,26141.323554207593,15367.500517853812,24436.413372970426,26863.063706637302,29457.77499487094
2025-12-12 18:23:06.181684,Right,2874.633593566541,3429.7098025690066,3390.335936684336,3126.7512862831645,1604.0796812450571,2934.594085578312,3215.813482564641,3531.598866057
2025-12-12 18:23:06.184631,Right,-13188.921682447515,-15637.680169976491,-15582.596633010195,-14248.268059811206,-8714.937148528348,-13304.01369751789,-14644.749616993882,-16049.740581170656
2025-12-12 18:23:06.189684,Right,-17313.201312277233,-20545.24229126313,-20461.79054559389,-18714.058823771367,-10938.369112433487,-17484.802357581968,-19242.58752502408,-21083.327259911457
2025-12-12 18:23:06.193699,Right,-12433.795516695478,-14751.856136835879,-14692.431224354834,-13436.6055959863,-7472.729221787071,-12555.20990777068,-13817.474938788393,-15131.94950277917
2025-12-12 18:23:06.197658,Right,-5349.019972551672,-6335.970378867933,-6316.920082118013,-5774.634899907745,-3212.5349225117825,-5389.1447636755765,-5933.399780776002,-6497.425679661566
2025-12-12 18:23:06.201723,Right,-1468.7715142521774,-1737.953219883144,-1742.5709080967354,-1584.188575253007,-1141.124653835257,-1469.875189871178,-1623.759526588372,-1782.3687403933145
2025-12-12 18:23:06.205751,Right,-2297.010524045909,-2731.2547423788346,-2730.2357113912003,-2483.4271126341773,-1532.4964595946367,-2315.2284019432263,-2554.2877428183565,-2799.58852332714
2025-12-12 18:23:06.209749,Right,-5528.187289410736,-6558.914233770571,-6536.737740421202,-5972.852689573076,-3236.7045111512416,-5580.843257928849,-6143.2995444478,-6727.702809878159
2025-12-12 18:23:06.212762,Right,-7539.78128969192,-8933.672962681158,-8899.28177981393,-8144.367202715832,-4639.167155488918,-7608.49104102375,-8370.670782469446,-9173.714901908766
2025-12-12 18:23:06.217759,Right,-6674.699576243642,-7913.364120408194,-7885.366688103415,-7214.884504787624,-4447.462796784937,-6738.984184922301,-7415.544778843294,-8134.551302502514
2025-12-12 18:23:06.221775,Right,-4399.860318795545,-5229.438162181992,-5214.736019991455,-4762.503070634208,-2891.1139420922846,-4452.466955536162,-4903.145856132265,-5377.259930934873
2025-12-12 18:23:06.225736,Right,-3242.990713554318,-3853.7015792591264,-3844.1684040148975,-3509.5536262873793,-1758.6307991185458,-3285.372383416514,-3618.3828373468714,-3960.4465107917786
2025-12-12 18:23:06.231828,Right,-3933.0134084424935,-4655.818262369372,-4641.996695318958,-4250.011186361546,-2260.792581163463,-3973.318881959538,-4371.76696487295,-4788.5669272542
2025-12-12 18:23:06.234821,Right,-4961.426712512737,-5875.14232967468,-5856.525502442615,-5364.198883769917,-3343.0503736492246,-5010.248536191764,-5511.667024364113,-6047.680087702582
2025-12-12 18:23:06.237835,Right,-4745.192009797669,-5633.683437472675,-5615.512545466889,-5136.183657366317,-3212.718853053986,-4800.513998305425,-5282.544679500395,-5796.486987191718
2025-12-12 18:23:06.240774,Right,-3536.4659323000815,-4201.432768626604,-4186.495775403455,-3826.7331036728574,-2014.4468006710522,-3581.0483349111164,-3940.4436112951953,-4316.154178157914
2025-12-12 18:23:06.245841,Right,-2841.6964244036935,-3360.9722431486007,-3346.5931043738965,-3067.6740813800134,-1505.884169257246,-2867.4778833830496,-3152.4273686136585,-3450.715685953619
2025-12-12 18:23:06.249805,Right,-3341.1083709474187,-3947.868739980273,-3929.1532084832434,-3607.3585081428755,-2253.479711665539,-3364.931369105354,-3698.336172674317,-4056.7990202081855
2025-12-12 18:23:06.253880,Right,-4053.366349957534,-4807.142717619892,-4782.566272642463,-4384.095075700665,-2843.3449308838462,-4092.2540934171993,-4499.383842378622,-4935.886682484066
2025-12-12 18:23:06.257902,Right,-3739.210028814967,-4441.889775964897,-4416.05940787564,-4045.2211229710374,-2232.918267442379,-3781.6213388821343,-4157.374501504004,-4552.071037871996
