timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 17:57:00.837766,Right,1223.327166303822,1572.4574910447798,1550.831988186821,1566.5379623479223,671.6487772265453,1389.2579794040248,1405.2891311380733,1626.1012202832026
2025-12-12 17:57:00.854813,Right,6589.318988746838,8467.614836309624,8350.976112820503,8436.49773243124,3625.241698946289,7481.435715518186,7567.633613270962,8757.129567758373
2025-12-12 17:57:00.857806,Right,15088.384320880297,19384.578792408294,19116.750452539003,19316.1417634203,8356.195547967107,17126.92084259544,17323.835114592177,20050.738370041992
2025-12-12 17:57:00.861816,Right,18820.153172332735,24176.96958857788,23840.780059230834,24097.657351041853,10593.091294220969,21358.82281274996,21603.095225285542,25016.821998521493
2025-12-12 17:57:00.865830,Right,12656.800312108542,16267.0897018447,16036.845448589454,16222.855057899847,7405.558703032759,14367.175665807816,14527.159250240591,16845.81678718311
2025-12-12 17:57:00.868858,Right,1358.457458198609,1757.51042192179,1725.63058117959,1766.4788559559966,1096.4395626040277,1554.8278354805952,1559.906073460923,1834.2820809561817
2025-12-12 17:57:00.872856,Right,-6997.8020778305945,-9000.939568367146,-8884.027639511245,-8955.943634135707,-3925.28448696158,-7929.378301972465,-8041.565243575547,-9311.632333813468
2025-12-12 17:57:00.876864,Right,-9006.29010793462,-11616.125658328878,-11462.438108312781,-11562.167695259297,-5314.879195574715,-10224.279474486131,-10365.204467254167,-12026.9597030078
2025-12-12 17:57:00.880884,Right,-6447.021068569302,-8327.797624962463,-8220.076347913826,-8284.381220175826,-3736.0206375485286,-7326.295221106382,-7428.994529788382,-8616.661116703239
2025-12-12 17:57:00.885885,Right,-2853.4937516079517,-3676.9643956884975,-3634.340285455459,-3651.7085736278677,-1482.2639006951067,-3233.8536435735296,-3283.942565303878,-3794.6581097838352
2025-12-12 17:57:00.889907,Right,-839.1994910179637,-1073.1079941705102,-1065.896169800486,-1060.093910831667,-414.78384250958334,-935.8835804568953,-958.1910687404452,-1103.5669452379807
