timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 18:07:35.425783,Right,1383.1350375290115,2197.925353745197,2261.411218388469,1916.334657380524,1239.1345577763534,1798.495393614095,1809.1448916160582,2381.045729294828
2025-12-12 18:07:35.441837,Right,7448.923190387017,11842.602302160663,12184.681203881659,10324.345852491053,6670.206292875229,9689.852430290404,9747.831555764085,12829.258471082572
2025-12-12 18:07:35.445839,Right,17069.695331333576,27157.879709137196,27942.361794303117,23672.986794686123,15232.846303439539,22219.553815275285,22355.030631677026,29420.31426204557
2025-12-12 18:07:35.448907,Right,21355.846648779803,34014.50893878314,34998.195639975165,29645.58661196752,18862.913628468676,27828.766795520052,28004.293957649446,36847.89925183753
2025-12-12 18:07:35.452861,Right,14491.518948887307,23120.815232004832,23796.154850763065,20151.960692097004,12445.999297978204,18922.56510666033,19050.268159368294,25048.26254146068
2025-12-12 18:07:35.456989,Right,1707.1803962578124,2753.3590295779286,2854.1635034205974,2412.113252942334,1068.247303050768,2274.0197034812445,2299.069020490453,2989.9098260846513
2025-12-12 18:07:35.459912,Right,-7937.914995328698,-12637.01679392383,-12968.109266911546,-10991.82391318414,-7036.978306955556,-10308.346645593469,-10367.296569354541,-13675.397313959635
2025-12-12 18:07:35.463948,Right,-10383.736020756187,-16522.842799309175,-16967.807264515664,-14385.252667666646,-8807.189139507565,-13496.439145149547,-13577.437860764621,-17883.690714492637
2025-12-12 18:07:35.468944,Right,-7424.988220407686,-11779.121381876059,-12100.99842024612,-10263.596876169147,-6333.650910700206,-9631.118316209642,-9683.740855425829,-12750.757131362101
2025-12-12 18:07:35.472973,Right,-3186.9272256162367,-5039.440866873949,-5176.368063743808,-4388.972480967408,-2917.304665575328,-4120.5225435713655,-4136.681316383008,-5455.456610563095
2025-12-12 18:07:35.476967,Right,-889.5838423872483,-1419.3425684747053,-1450.598980378476,-1224.1252178623108,-837.0401043000165,-1152.0893867412815,-1153.759953377128,-1534.6403049015207
2025-12-12 18:07:35.480936,Right,-1382.7770851713722,-2202.713992282399,-2255.594231763738,-1906.698682067683,-1032.3659167671576,-1791.821564340673,-1799.9791636790615,-2382.9699719208293
2025-12-12 18:07:35.484902,Right,-3298.4370068990393,-5213.757346855709,-5359.52940633602,-4539.237980832462,-2807.339832381753,-4259.596716581029,-4279.905606111046,-5646.945406783721
2025-12-12 18:07:35.487966,Right,-4513.974269695231,-7143.933104873984,-7349.662328030681,-6220.954495737911,-4133.240275318676,-5835.805865554372,-5864.410943797324,-7738.8039097641595
2025-12-12 18:07:35.491918,Right,-4024.2708314167103,-6400.5735962748295,-6581.5757845066255,-5563.962873567478,-3614.9880951918894,-5219.125341134495,-5248.7005056736525,-6930.178671011352
2025-12-12 18:07:35.496980,Right,-2657.099082287634,-4231.8409116505645,-4348.6231674818555,-3673.627864636481,-2124.644847418007,-3445.5758976463694,-3467.296061843401,-4577.773268040153
2025-12-12 18:07:35.500996,Right,-1934.7816581958323,-3045.8273756003473,-3135.0595912531717,-2650.1345496537397,-1560.2855590882245,-2485.329844466294,-2496.3360713552684,-3294.7584830014966
2025-12-12 18:07:35.505019,Right,-2349.462551087141,-3695.378001197474,-3809.1409027127083,-3218.778508508345,-2264.2734527000575,-3020.138714680448,-3029.461673335405,-4001.4488791712793
2025-12-12 18:07:35.509007,Right,-2997.3483207190875,-4766.1770348059945,-4907.723587725777,-4143.287542914506,-2828.6642672626767,-3890.177382981754,-3908.087061264785,-5161.181293440866
2025-12-12 18:07:35.512026,Right,-2872.382787596318,-4588.055704235332,-4721.433110679383,-3986.2688615975203,-2363.4500369030866,-3744.72913194017,-3767.5115288335364,-4968.088722793153
2025-12-12 18:07:35.515982,Right,-2116.2994851422263,-3350.8933478131657,-3455.496722225216,-2919.5307108309353,-1630.3453290303005,-2743.7179299254203,-2759.6682584950468,-3632.7338282079436
2025-12-12 18:07:35.520050,Right,-1688.4248150052736,-2646.2393393327948,-2739.110857604188,-2312.218081609113,-1592.05837752379,-2173.072854733211,-2182.3544299567584,-2875.2024997924455
2025-12-12 18:07:35.524999,Right,-2014.3830489279935,-3198.0111491340213,-3304.7682083715918,-2785.9164060696494,-2001.4957859738497,-2617.133157911827,-2632.3276172962505,-3472.5930312939454
2025-12-12 18:07:35.529060,Right,-2452.4427309617167,-3927.2334569615778,-4048.289806481451,-3416.9564241042826,-2070.6090506465407,-3208.081945286598,-3233.069203624269,-4258.274751897901
2025-12-12 18:07:35.533123,Right,-2234.6503123481525,-3556.3476848092396,-3668.841566961375,-3103.751585848513,-1705.7612954222132,-2911.521863940754,-2933.98801614251,-3856.067206052365
2025-12-12 18:07:35.537111,Right,-1534.192823247984,-2409.6487122639082,-2496.936477235635,-2113.6617073524976,-1376.915949225193,-1980.3985218565213,-1991.1308962546755,-2617.162716397899
2025-12-12 18:07:35.540095,Right,-1195.0604576600017,-1892.0150865514297,-1964.3258678700076,-1656.3874712202232,-1307.0458201311994,-1552.2071807848988,-1558.8336496698903,-2056.5067928808276
2025-12-12 18:07:35.544109,Right,-1544.0743809493724,-2484.6176705023972,-2566.84318793274,-2163.9498363916064,-1391.4997883259202,-2031.3760306850309,-2044.3362441109493,-2694.670300754835
2025-12-12 18:07:35.548135,Right,-1955.8961478359997,-3126.4384141566698,-3226.1464055554243,-2728.4967169780284,-1520.4435224888148,-2563.0147623672383,-2578.88570239977,-3388.9761290388415
2025-12-12 18:07:35.552150,Right,-1745.8620155070676,-2757.169347290881,-2852.671505792532,-2416.7943907519802,-1526.3974709743634,-2270.645309884916,-2280.050069419085,-2992.6224990371848
2025-12-12 18:07:35.557141,Right,-1108.4261043034494,-1754.7779458756559,-1822.8801180508453,-1540.9229053101735,-1210.9560585733852,-1448.9597335408907,-1452.9030080996454,-1909.0704861133127
2025-12-12 18:07:35.561152,Right,-808.3351163238985,-1316.905998690403,-1366.1051148982951,-1150.9564960508142,-784.1724539700663,-1084.1996239447035,-1090.9499227160122,-1433.1507265482796
2025-12-12 18:07:35.565178,Right,-1111.7611674627988,-1798.199795444496,-1858.6524957672227,-1572.9218466000166,-788.2197757523973,-1481.1107459628256,-1491.855078336317,-1953.9097359589068
2025-12-12 18:07:35.568122,Right,-1460.490953183733,-2321.1965219567064,-2401.578655644902,-2037.3997404746478,-1217.7642217997927,-1917.0096201649867,-1925.7553398509044,-2522.795891148504
2025-12-12 18:07:35.572211,Right,-1280.6883478430682,-2041.041137903463,-2114.9433042283636,-1790.9261646681698,-1319.002341396932,-1685.6567387753166,-1690.573615466943,-2219.397535150172
2025-12-12 18:07:35.576209,Right,-749.197717382398,-1234.7404660054017,-1279.1421716584591,-1078.0634114930872,-747.7167890389683,-1016.6835288197035,-1021.4353132104734,-1341.5867458839202
2025-12-12 18:07:35.580216,Right,-494.63419111660914,-833.159085544874,-862.3513638646109,-727.8907836728031,-258.6529776461539,-686.9739417603705,-692.5865652555367,-903.7761089762207
2025-12-12 18:07:35.585240,Right,-728.9277449865476,-1169.759403299773,-1213.565101812128,-1030.1351457148558,-557.1936511287349,-968.3889943431132,-973.1706426875899,-1271.2872850573622
2025-12-12 18:07:35.589178,Right,-1011.3521227546735,-1612.4870097920066,-1672.757676917361,-1416.202498501516,-1096.6387055436498,-1329.031731527648,-1335.1626740295906,-1754.349240347743
2025-12-12 18:07:35.593247,Right,-886.6079105532262,-1449.2168125157477,-1500.2994895417942,-1264.508161308011,-924.3646922656917,-1186.248704271973,-1197.2252136063762,-1576.419519531657
2025-12-12 18:07:35.596251,Right,-472.79385280725546,-800.7161708085332,-829.4573043819983,-698.1555546539603,-245.12332194502233,-654.1124932803214,-666.7531365239993,-872.0465540589066
2025-12-12 18:07:35.600276,Right,-248.54543102049502,-409.67473897791933,-432.1395081789233,-367.4076991453767,-66.56890591752017,-342.02563537930837,-350.48162691597827,-450.74237514752895
2025-12-12 18:07:35.604281,Right,-403.19103889761027,-644.1269935426535,-678.2322187973186,-575.050337870256,-535.0099258268601,-535.6075650087441,-542.4069797011907,-707.7260315133026
2025-12-12 18:07:35.608289,Right,-626.0733002800844,-1036.4467612857698,-1077.099816331407,-907.9948208696442,-773.3799208265264,-848.4512830754975,-861.2607248509885,-1130.7325058738934
2025-12-12 18:07:35.612291,Right,-554.0481827905169,-941.4991716402583,-972.4720710264519,-821.4320002478198,-389.4943795927684,-768.078723382845,-785.6236429308774,-1023.433358383365
2025-12-12 18:07:35.617343,Right,-240.68885485490318,-405.83853110147174,-423.0158419328509,-363.8567317898851,-24.917662114079576,-338.57661773922155,-350.8990316253621,-442.31051420466974
2025-12-12 18:07:35.620282,Right,-48.462655556737445,-69.4403812220553,-81.32587228738703,-76.22279868955957,-157.2716217758716,-68.66897547716508,-72.77763548138319,-79.01243782305392
2025-12-12 18:07:35.624324,Right,-153.22064111582586,-263.333274829085,-276.66947564750444,-236.38201634964207,-371.4570928964822,-220.74163601739565,-224.57395993574755,-286.074659966107
2025-12-12 18:07:35.628342,Right,-330.69086947181495,-577.918766806717,-592.4784048534348,-502.7047208988224,-235.43136301013874,-473.2681168454001,-480.8415555933607,-621.0801378808101
2025-12-12 18:07:35.632399,Right,-281.8666942716809,-479.6467321678647,-492.36215875542257,-423.32048455864424,-25.31450589306769,-400.1455903009046,-404.3865076061338,-512.8923447969137
2025-12-12 18:07:35.636370,Right,-31.854915030649863,-50.767435531306546,-58.064624197315425,-56.85605065623531,-72.16525897051906,-56.59824112759088,-52.6571587579092,-50.8121579864528
2025-12-12 18:07:35.640444,Right,131.9507310000772,191.28535881167045,191.1667543281801,160.34182261984097,-133.51654594024876,146.30056771074305,151.4891205521999,211.00437513535144
2025-12-12 18:07:35.645397,Right,64.26677181600826,50.81586926607997,53.40780665812781,46.65952485933667,37.649906926526455,38.47218512443942,37.77061061980203,61.562375693698414
2025-12-12 18:07:35.648419,Right,-63.6166814811877,-135.6034387484833,-137.70074641532847,-120.56700866323081,150.8195157978771,-118.09330468991539,-120.2501207717869,-140.20339243853232
2025-12-12 18:07:35.651407,Right,-30.63988281280035,-44.223660612507956,-49.97207412685384,-50.30384429130936,-28.60257795965299,-50.530549830262316,-47.013982025615405,-44.370036838547094
2025-12-12 18:07:35.656449,Right,137.09630384707998,215.35112937020313,216.19695411411521,179.0407694827445,-139.08612922714383,165.73907626328582,171.841626258858,236.61618870095117
