timestamp,label,FC3,C3,CP3,Cz,FCz,FC4,C4,CP4
2025-12-12 18:03:16.474519,Right,2335.433474129908,2635.0793716846365,2646.3520721680447,2593.335565321213,1833.76026056826,2482.932242781619,2495.679499667165,2721.356626141443
2025-12-12 18:03:16.487556,Right,12581.849823525099,14197.845855888176,14259.589852073092,13972.377208456273,9865.837574664089,13377.855087202795,13446.67221530293,14662.425656217954
2025-12-12 18:03:16.492556,Right,28853.00593887989,32564.01577148973,32709.33295753269,32045.061531269464,22567.418448175715,30682.64007492225,30841.08165661797,33627.85783068883
2025-12-12 18:03:16.496579,Right,36150.36815398622,40808.54755459608,40998.87375325481,40155.06489474112,28146.824909328298,38449.15931728293,38649.91534366291,42136.85626733187
2025-12-12 18:03:16.500581,Right,24604.809198521973,27785.023775694834,27928.034007352588,27337.18835058839,19001.62808946373,26173.5701545891,26316.726458663165,28681.68962868568
2025-12-12 18:03:16.504597,Right,2966.9860678920522,3365.4041919583397,3405.0135663228575,3309.131382787862,2186.909787444776,3156.051743136224,3189.0455578640685,3465.4967164608533
2025-12-12 18:03:16.508600,Right,-13441.535649271682,-15148.713499232079,-15191.731165842211,-14907.50765325781,-10385.253651061357,-14298.365087181708,-14349.050244632468,-15644.38956115814
2025-12-12 18:03:16.513620,Right,-17627.3004333516,-19862.795880291436,-19928.007140315836,-19548.73336484324,-13573.69383556518,-18743.22598379443,-18818.0493788679,-20507.599882090988
2025-12-12 18:03:16.517576,Right,-12571.046724999382,-14156.064237543615,-14198.150784753496,-13935.987335235404,-9782.804978056054,-13359.900320262823,-13413.494764322997,-14620.02647553262
2025-12-12 18:03:16.521643,Right,-5355.8981756186695,-6027.042834619759,-6038.30420122284,-5934.471891183872,-4253.289763553126,-5693.0129465477075,-5711.059502722463,-6231.386601204751
2025-12-12 18:03:16.525664,Right,-1504.0729041114682,-1689.9398676744895,-1687.0184598520864,-1662.3119950107066,-1150.1250951509573,-1605.1185361475218,-1601.0908600621624,-1749.851315986598
2025-12-12 18:03:16.529682,Right,-2370.878633729415,-2663.5968715593917,-2665.468606897746,-2620.5386754840147,-1758.0621728178812,-2523.5961486407323,-2523.5295073810266,-2750.793772599194
2025-12-12 18:03:16.532685,Right,-5566.163107081782,-6265.538397095399,-6282.102748724166,-6167.6423523064,-4358.754203036893,-5914.605012668413,-5934.370242194505,-6472.723992669955
2025-12-12 18:03:16.536674,Right,-7576.091585963033,-8542.773584678187,-8572.13076721935,-8407.394449869636,-5999.924461470218,-8055.827119273483,-8088.507392236032,-8827.348590574693
2025-12-12 18:03:16.539706,Right,-6785.199277645792,-7659.162758906023,-7689.72585450788,-7534.157978064148,-5265.838640509988,-7222.328064911533,-7250.15389637847,-7909.739071240765
2025-12-12 18:03:16.543751,Right,-4524.606830130098,-5102.99133618793,-5123.800590900704,-5018.903654968366,-3407.322735928814,-4813.880733874743,-4830.151806970476,-5263.106390951434
2025-12-12 18:03:16.547712,Right,-3274.4102036606055,-3684.553267931915,-3697.6832908126526,-3626.41407620511,-2546.9667945889523,-3473.510539242532,-3486.9263944189297,-3800.240804115194
2025-12-12 18:03:16.552741,Right,-3926.6750063108047,-4425.946411454934,-4443.979404259822,-4355.476931833546,-3178.208307085675,-4167.7098179606255,-4187.0527552746935,-4571.826618282357
2025-12-12 18:03:16.556758,Right,-5057.962678032694,-5711.21921277279,-5739.850363606587,-5615.460176726687,-3961.96300100442,-5380.541736477404,-5403.450019432697,-5897.172738003777
2025-12-12 18:03:16.559752,Right,-4915.854090885026,-5546.539525503293,-5576.74486671458,-5451.562553016236,-3707.6486524608918,-5230.612721296726,-5249.639032504172,-5720.005483474582
2025-12-12 18:03:16.563790,Right,-3618.701060520252,-4074.122070517391,-4096.384894652991,-4005.544903599657,-2774.9637744204374,-3843.249210971757,-3856.6490542676765,-4199.428518950706
2025-12-12 18:03:16.567782,Right,-2820.409315057099,-3178.772772586206,-3197.5618839103263,-3125.343869326869,-2318.799677585135,-2994.3371328844223,-3006.662382856244,-3280.77448202041
2025-12-12 18:03:16.571785,Right,-3371.2333523902344,-3813.621055372758,-3839.59666666924,-3746.1958350019995,-2706.9370341211325,-3590.210810821969,-3605.5652590619866,-3935.849650149932
2025-12-12 18:03:16.575824,Right,-4179.479548866977,-4726.131385901244,-4759.343084937893,-4641.995889551239,-3171.117151183891,-4452.360300433589,-4470.758768015541,-4870.684142442653
2025-12-12 18:03:16.580793,Right,-3820.604427862563,-4310.779063709779,-4341.777498812415,-4236.354508035816,-2905.8080899318447,-4060.592817296274,-4079.2756555695087,-4439.928123371908
2025-12-12 18:03:16.584786,Right,-2577.1228936222615,-2906.729592982447,-2932.3073106650263,-2856.9518835367635,-2098.7310522240587,-2732.180237917928,-2748.3141937979963,-2996.1904701772146
2025-12-12 18:03:16.589846,Right,-1996.9486427034717,-2262.387240370037,-2289.8590683359653,-2219.824066038709,-1654.196917057503,-2121.7959135195706,-2135.4319977771956,-2332.72102809255
2025-12-12 18:03:16.593837,Right,-2655.9994450242957,-3008.8205749581102,-3043.570603617467,-2951.4530060549732,-2009.5049892636016,-2827.6350380498916,-2842.6481083401013,-3097.218162066769
2025-12-12 18:03:16.596862,Right,-3375.930644580978,-3812.7527482011355,-3850.54380287556,-3745.4280783708673,-2540.32706440927,-3587.2530045062304,-3606.7336705755442,-3925.0386888689827
